cast_id,module,description,phase,input_file,output_dir,expected_output_file,actual_output_file,psa_file,config_file,command,command_working_dir,run_requested,status,return_code,log_path
P45_06_CTD_01,01_datcnv,Data Conversion from raw Sea-Bird hex to engineering/oceanographic units (L1 readable full cast),linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\raw\P45_06_CTD_01\P45_06_CTD_01.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_01.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_01.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\01_datcnv.psa,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\DatCnvW.exe"" /iP45_06_CTD_01.hex /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\01_datcnv.psa /fP45_06_CTD_01 /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD /cC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\raw\P45_06_CTD_01,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_01\logs\01_datcnv.log
P45_06_CTD_01,02_alignctd,Align CTD sensor timing (reduces salinity/oxygen spiking),linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_01.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD\P45_06_CTD_01_al.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD\P45_06_CTD_01_al.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\02_alignctd.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\AlignCTDW.exe"" /iP45_06_CTD_01.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\02_alignctd.psa /fP45_06_CTD_01_al /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_01\logs\02_alignctd.log
P45_06_CTD_01,06_loopedit,Mark pressure reversals and slow movement loops (ship heave),linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD\P45_06_CTD_01_al.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit\P45_06_CTD_01_loop.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit\P45_06_CTD_01_loop.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\06_loopedit.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\LoopEditW.exe"" /iP45_06_CTD_01_al.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\06_loopedit.psa /fP45_06_CTD_01_loop /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_01\logs\06_loopedit.log
P45_06_CTD_01,07_derive,"Derive oceanographic variables (salinity, density, etc.) - unbinned hub",linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit\P45_06_CTD_01_loop.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_01_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_01_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\07_derive.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\DeriveW.exe"" /iP45_06_CTD_01_loop.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\07_derive.psa /fP45_06_CTD_01_der /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_01\logs\07_derive.log
P45_06_CTD_01,08b_binavg_1m_down,"1 m depth-bin average, downcast only (science profiles, slide 6)",binavg_branch,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_01_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_01_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_01_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\08b_binavg_1m_down.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\BinAvgW.exe"" /iP45_06_CTD_01_der.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\08b_binavg_1m_down.psa /fP45_06_CTD_01_1m_down /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_01\logs\08b_binavg_1m_down.log
P45_06_CTD_01,08d_binavg_1s_full,"1 s time-bin average, full cast for SUNA matching (slide 7)",binavg_branch,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_01_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_01_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_01_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\08d_binavg_1s_full.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\BinAvgW.exe"" /iP45_06_CTD_01_der.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\08d_binavg_1s_full.psa /fP45_06_CTD_01_1s /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_01\logs\08d_binavg_1s_full.log
P45_06_CTD_02,01_datcnv,Data Conversion from raw Sea-Bird hex to engineering/oceanographic units (L1 readable full cast),linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\raw\P45_06_CTD_02\P45_06_CTD_02.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_02.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_02.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\01_datcnv.psa,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\DatCnvW.exe"" /iP45_06_CTD_02.hex /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\01_datcnv.psa /fP45_06_CTD_02 /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD /cC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\raw\P45_06_CTD_02,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_02\logs\01_datcnv.log
P45_06_CTD_02,02_alignctd,Align CTD sensor timing (reduces salinity/oxygen spiking),linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_02.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD\P45_06_CTD_02_al.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD\P45_06_CTD_02_al.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\02_alignctd.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\AlignCTDW.exe"" /iP45_06_CTD_02.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\02_alignctd.psa /fP45_06_CTD_02_al /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_02\logs\02_alignctd.log
P45_06_CTD_02,06_loopedit,Mark pressure reversals and slow movement loops (ship heave),linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD\P45_06_CTD_02_al.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit\P45_06_CTD_02_loop.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit\P45_06_CTD_02_loop.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\06_loopedit.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\LoopEditW.exe"" /iP45_06_CTD_02_al.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\06_loopedit.psa /fP45_06_CTD_02_loop /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_02\logs\06_loopedit.log
P45_06_CTD_02,07_derive,"Derive oceanographic variables (salinity, density, etc.) - unbinned hub",linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit\P45_06_CTD_02_loop.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_02_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_02_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\07_derive.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\DeriveW.exe"" /iP45_06_CTD_02_loop.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\07_derive.psa /fP45_06_CTD_02_der /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_02\logs\07_derive.log
P45_06_CTD_02,08b_binavg_1m_down,"1 m depth-bin average, downcast only (science profiles, slide 6)",binavg_branch,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_02_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_02_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_02_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\08b_binavg_1m_down.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\BinAvgW.exe"" /iP45_06_CTD_02_der.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\08b_binavg_1m_down.psa /fP45_06_CTD_02_1m_down /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_02\logs\08b_binavg_1m_down.log
P45_06_CTD_02,08d_binavg_1s_full,"1 s time-bin average, full cast for SUNA matching (slide 7)",binavg_branch,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_02_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_02_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_02_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\08d_binavg_1s_full.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\BinAvgW.exe"" /iP45_06_CTD_02_der.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\08d_binavg_1s_full.psa /fP45_06_CTD_02_1s /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_02\logs\08d_binavg_1s_full.log
P45_06_CTD_03,01_datcnv,Data Conversion from raw Sea-Bird hex to engineering/oceanographic units (L1 readable full cast),linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\raw\P45_06_CTD_03\P45_06_CTD_03.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_03.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_03.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\01_datcnv.psa,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\DatCnvW.exe"" /iP45_06_CTD_03.hex /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\01_datcnv.psa /fP45_06_CTD_03 /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD /cC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\raw\P45_06_CTD_03,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_03\logs\01_datcnv.log
P45_06_CTD_03,02_alignctd,Align CTD sensor timing (reduces salinity/oxygen spiking),linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_03.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD\P45_06_CTD_03_al.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD\P45_06_CTD_03_al.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\02_alignctd.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\AlignCTDW.exe"" /iP45_06_CTD_03.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\02_alignctd.psa /fP45_06_CTD_03_al /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_03\logs\02_alignctd.log
P45_06_CTD_03,06_loopedit,Mark pressure reversals and slow movement loops (ship heave),linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD\P45_06_CTD_03_al.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit\P45_06_CTD_03_loop.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit\P45_06_CTD_03_loop.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\06_loopedit.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\LoopEditW.exe"" /iP45_06_CTD_03_al.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\06_loopedit.psa /fP45_06_CTD_03_loop /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_03\logs\06_loopedit.log
P45_06_CTD_03,07_derive,"Derive oceanographic variables (salinity, density, etc.) - unbinned hub",linear,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit\P45_06_CTD_03_loop.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_03_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter\P45_06_CTD_03_der.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\07_derive.psa,,"""C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\DeriveW.exe"" /iP45_06_CTD_03_loop.cnv /pC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_psa\07_derive.psa /fP45_06_CTD_03_der /oC:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter /s",C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit,True,success,0,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\_sbe_work\sbe_outputs\per_cast_sbe_outputs\P45_06_CTD_03\logs\07_derive.log
